No,Kategori Akun,Nama Lengkap,Username / ID Login,Kata Sandi (Password),Email,NIS / NIP,Kelas / Rombel,No. Telepon / WA,Status Kata Sandi
1,Administrator,Administrator SAPA,admin@smk.sch.id (atau: admin),admin123,admin@smk.sch.id,-,-,081234567800,Telah Diubah Mandiri
2,Administrator,Admin SAPA Sistem,admin@sapa.sch.id (atau: admin),admin123,admin@sapa.sch.id,-,-,081234567801,Telah Diubah Mandiri
3,Guru BK,"Dra. Hj. Sri Wahyuni, M.Psi, Kons.",sri.wahyuni@smk.sch.id,guru123,sri.wahyuni@smk.sch.id,$sapa$nip$v1$425847546f5d58456e5a50495856406f5b54,Semua Kelas (BK Sekolah),081234567811,Sandi Default
4,Guru BK,"Ahmad Fauzi, S.Pd., Kons.",ahmad.fauzi@smk.sch.id,guru123,ahmad.fauzi@smk.sch.id,$sapa$nip$v1$425848516f5658426d5359455854436f5b51,Semua Kelas (BK Sekolah),081234567812,Sandi Default
5,Guru BK,"Ratna Kusuma Dewi, S.Psi.",ratna.kusuma@smk.sch.id,guru123,ratna.kusuma@smk.sch.id,$sapa$nip$v1$425848556e5f5b406d5359485854406f5b53,Semua Kelas (BK Sekolah),081234567813,Sandi Default
6,Guru BK,"Drs. Bambang Sudarmono, M.Pd.",bambang.sudarmono@smk.sch.id,guru123,bambang.sudarmono@smk.sch.id,$sapa$nip$v1$425847506f5a5b456e5a50475856436f5b57,Semua Kelas (BK Sekolah),081234567814,Sandi Default
7,Guru BK,"Siti Nurhaliza, S.Pd., Kons.",siti.nurhaliza@smk.sch.id,guru123,siti.nurhaliza@smk.sch.id,$sapa$nip$v1$425848596f5958446d5358415854406f5b50,Semua Kelas (BK Sekolah),081234567815,Sandi Default
8,Guru BK,"Eko Prasetyo, S.Psi.",eko.prasetyo@smk.sch.id,guru123,eko.prasetyo@smk.sch.id,$sapa$nip$v1$425848576f5c5b486d5358405854436f5b5d,Semua Kelas (BK Sekolah),081234567816,Sandi Default
9,Guru BK,"Nurul Hidayati, S.Pd., M.Si.",nurul.hidayati@smk.sch.id,guru123,nurul.hidayati@smk.sch.id,$sapa$nip$v1$425848536f5759456d5359465851406f5b52,Semua Kelas (BK Sekolah),081234567817,Sandi Default
10,Guru BK,"Dedi Kurniawan, S.Pd., Kons.",dedi.kurniawan@smk.sch.id,guru123,dedi.kurniawan@smk.sch.id,$sapa$nip$v1$425848566f5f58496d5358445857436f5b56,Semua Kelas (BK Sekolah),081234567818,Sandi Default
